16:15:29	Kouga	Kouga	laaaaaag
22:28:02	Naruto	Naruto	olg u and shinn go
22:28:11	Naruto	Naruto	i want to see u guy spar
22:28:15	Shinn	Shinn	calm down...
22:28:31	Naruto	Naruto	lol
22:28:58	Naruto	Naruto	i have to go fix my bad next we do mission k
22:29:05	Olgenson	Olgenson	can we use macro here
22:29:48	Naruto	Naruto	hmm let me check
22:29:54	Naruto	Naruto	dam
22:30:00	Naruto	Naruto	what is that
22:30:03	Shinn	Shinn	lmao
22:30:06	Shinn	Shinn	rashomon
22:30:14	Naruto	Naruto	what does it do
22:30:29	Shinn	Shinn	stun
22:31:17	Naruto	Naruto	no we can&#39;t
22:31:47	Naruto	Naruto	hurry up lol
22:33:15	Shinn	Shinn	wrong jutsu
22:33:25	Olgenson	Olgenson	LOL
22:34:12	Naruto	Naruto	yes sup bro
22:34:15	Shinn	Shinn	wow
22:34:23	Shinn	Shinn	if it wont stun
22:34:29	Shinn	Shinn	what this shit does?
22:34:41	Naruto	Naruto	i don&#39;t know lol
22:35:40	Naruto	Naruto	lag
22:38:26	Shinn	Shinn	hehe
22:38:29	Shinn	Shinn	i gotta go
22:38:32	Shinn	Shinn	bye guys
22:38:35	Olgenson	Olgenson	bye
22:43:58	Naruto	Naruto	back
22:44:15	Naruto	Naruto	my bitch brother were acting bitchy
22:44:29	Olgenson	Olgenson	lol
22:44:30	Naruto	Naruto	hmm
22:44:44	Olgenson	Olgenson	aww
22:45:16	Naruto	Naruto	hmm did i miss someting
22:46:20	Naruto	Naruto	u got some skills
22:46:32	Olgenson	Olgenson	thx lol
22:47:36	Naruto	Naruto	wow
22:49:00	Olgenson	Olgenson	shit
22:49:09	Naruto	Naruto	:)
22:50:10	Naruto	Naruto	hmm lol
22:50:17	Olgenson	Olgenson	lol
22:50:20	Naruto	Naruto	olg got skills now
22:50:24	Naruto	Naruto	kill me
22:50:30	Naruto	Naruto	i want to show u
22:50:36	Naruto	Naruto	how hard i am
22:51:33	Naruto	Naruto	wait
22:52:06	Naruto	Naruto	your  chakra is high
22:52:13	Naruto	Naruto	hmm
22:53:32	Naruto	Naruto	wtf
22:55:08	Naruto	Naruto	hmm
22:56:13	Naruto	Naruto	wow
22:56:33	Olgenson	Olgenson	that is awesome lol
22:56:40	Naruto	Naruto	i know
22:56:46	Naruto	Naruto	u got strongr
22:57:46	Naruto	Naruto	olg
22:58:03	Olgenson	Olgenson	?
22:58:24	Naruto	Naruto	i need to teach u which one is the real
22:58:44	Olgenson	Olgenson	which one is real what do you mean
22:58:46	Naruto	Naruto	in order to let u do more mission
22:58:55	Naruto	Naruto	come don&#39;t attack me
22:59:15	Naruto	Naruto	use sage mode
22:59:34	Olgenson	Olgenson	hmm
22:59:52	Naruto	Naruto	hmm hmm
22:59:58	Olgenson	Olgenson	youre right there right
23:00:06	Naruto	Naruto	yep
23:00:06	Olgenson	Olgenson	where im looking
23:00:14	Naruto	Naruto	now tell
23:00:24	Naruto	Naruto	which one
23:00:51	Naruto	Naruto	yea
23:01:01	Naruto	Naruto	you are ready
23:01:02	Olgenson	Olgenson	lol
23:01:20	Naruto	Naruto	lol
23:02:08	Olgenson	Olgenson	whos clones are those
23:02:15	Naruto	Naruto	come
23:02:22	Naruto	Naruto	u need some colors
23:04:04	Naruto	Naruto	tell me your done
23:05:32	Naruto	Naruto	don&#39;t
23:05:37	Olgenson	Olgenson	k
23:06:04	Naruto	Naruto	take a B rank mission
23:06:43	Naruto	Naruto	your mission copy it
23:07:15	Olgenson	Olgenson	Your job is to Escort Izanami who you can find at Kawa no Kuni, to Ishi no Kuni. 
23:07:24	Naruto	Naruto	k come
23:08:18	Naruto	Naruto	you map
23:09:19	Naruto	Naruto	follow your map
23:09:54	Naruto	Naruto	click then space
23:10:30	Naruto	Naruto	go back
23:10:40	Naruto	Naruto	get him
23:10:58	Naruto	Naruto	olg
23:11:10	Naruto	Naruto	to pass a mission
23:11:16	Naruto	Naruto	come follow me
23:11:26	Naruto	Naruto	get him first
23:11:34	Olgenson	Olgenson	damn hes not coming
23:11:36	Naruto	Naruto	space
23:11:47	Naruto	Naruto	right click then space
23:12:56	Naruto	Naruto	its the only way to get money bro
23:13:07	Naruto	Naruto	olg
23:17:42	Naruto	Naruto	keep going
23:18:39	Naruto	Naruto	get him
23:20:03	Naruto	Naruto	get him olg
23:20:35	Naruto	Naruto	there
23:20:59	Naruto	Naruto	you pass mission
23:21:03	Olgenson	Olgenson	now what
23:21:06	Naruto	Naruto	lets go train
23:21:25	Naruto	Naruto	until we know we can all ways be the strongest
23:28:13	Olgenson	Olgenson	what the
23:30:33	Naruto	Naruto	i knew it
23:30:42	Naruto	Naruto	your the real one lol
23:31:12	Olgenson	Olgenson	lol we kiled eachother lol
23:31:20	Naruto	Naruto	i know
23:31:57	Naruto	Naruto	wow lol
23:32:00	Olgenson	Olgenson	O_O
23:32:08	Naruto	Naruto	nice
23:34:26	Olgenson	Naruto	so olg
23:34:32	Olgenson	Naruto	were am i
23:34:36	Olgenson	Naruto	who am i
23:34:48	Olgenson	Olgenson	wtf
23:34:50	Olgenson	Naruto	find it out
23:34:57	Olgenson	Naruto	lol
23:35:04	Olgenson	Naruto	wow
23:35:07	Olgenson	Olgenson	O_O im scared now
23:35:24	Naruto	Naruto	lol
23:35:26	Olgenson	Olgenson	it was you lol
23:35:31	Naruto	Naruto	yep
23:35:39	Naruto	Naruto	i&#39;m so good
23:35:39	Olgenson	Olgenson	damn lol you got me
23:36:13	Naruto	Naruto	yep
23:36:52	Naruto	Naruto	lol
23:36:58	Olgenson	Olgenson	hehe
23:37:05	Naruto	Naruto	olg u should invite 
23:37:20	Olgenson	Olgenson	invite?
23:37:26	Naruto	Naruto	people
23:37:31	Naruto	Naruto	like me
23:39:12	Naruto	Naruto	kill me
23:40:28	Khgd	Khgd	olg come to the mist
23:40:36	Naruto	Naruto	come
23:45:30	Khgd	Khgd	kill me
23:48:45	Khgd	Khgd	tell me when your done
23:49:22	Khgd	Khgd	hmm
23:50:25	Khgd	Khgd	man
23:50:49	Khgd	Khgd	i can&#39;t move lol
23:51:11	Khgd	Khgd	:)
23:51:31	Olgenson	Olgenson	you stuck here for ahile
